Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Qty,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,SEO Title,SEO Description,Status
2-in-1-bikini-trimmer-for-women-painless-electric-razor-waterproof,"2-in-1 Bikini Trimmer for Women – Painless Electric Razor, Waterproof","<p>2-in-1 Bikini Trimmer for Women – Painless Electric Razor, Waterproof for practical daily home use in Pakistan.</p><ul><li>Practical use for Pakistani households</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily home use</li></ul>",Pak Home Essentials,Health & Beauty > Personal Care,Personal Care,"personal-care, cod-available, quality-checked, pakistan, daily-home-use",TRUE,Title,Default Title,PHE-PC-001,0,3500,5045.00,TRUE,FALSE,,"2-in-1 Bikini Trimmer for Women – Painless Electric Razor, Waterproof ","2-in-1 Bikini Trimmer for Women – Painless Electric Razor, Waterproof for Pakistan homes. Quality checked, practical for daily use, and available with COD support.",active
electric-shaver-with-triple-blade-system-type-c-fast-charging-and-lcd-display,"Electric Shaver with Triple Blade System, Type-C Fast Charging & LCD Display","<p>Electric Shaver with Triple Blade System, Type-C Fast Charging &amp; LCD Display for practical daily home use in Pakistan.</p><ul><li>Practical use for Pakistani households</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily home use</li></ul>",Pak Home Essentials,Health & Beauty > Personal Care,Personal Care,"personal-care, cod-available, quality-checked, pakistan, daily-home-use",TRUE,Title,Default Title,PHE-PC-002,0,3000,7230.00,TRUE,FALSE,,"Electric Shaver with Triple Blade System, Type-C Fast Charging & LCD D","Electric Shaver with Triple Blade System, Type-C Fast Charging & LCD Display for Pakistan homes. Quality checked, practical for daily use, and available with COD support.",active
facial-hair-trimmer-with-360-floating-blades-led-display-and-type-c-charging,"Facial Hair Trimmer with 360° Floating Blades, LED Display & Type-C Charging","<p>Facial Hair Trimmer with 360° Floating Blades, LED Display &amp; Type-C Charging for practical daily home use in Pakistan.</p><ul><li>Practical use for Pakistani households</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily home use</li></ul>",Pak Home Essentials,Health & Beauty > Personal Care,Personal Care,"personal-care, cod-available, quality-checked, pakistan, daily-home-use",TRUE,Title,Default Title,PHE-PC-003,0,4500,7500.00,TRUE,FALSE,,"Facial Hair Trimmer with 360° Floating Blades, LED Display & Type-C Ch","Facial Hair Trimmer with 360° Floating Blades, LED Display & Type-C Charging for Pakistan homes. Quality checked, practical for daily use, and available with COD support.",active
folding-handle-hair-dryer-portable-lightweight-travel-hairdryer-with-cool-shot,"Folding Handle Hair Dryer – Portable, Lightweight Travel Hairdryer with Cool Shot","<p>Folding Handle Hair Dryer – Portable, Lightweight Travel Hairdryer with Cool Shot for practical daily home use in Pakistan.</p><ul><li>Practical use for Pakistani households</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily home use</li></ul>",Pak Home Essentials,Health & Beauty > Personal Care,Personal Care,"personal-care, cod-available, quality-checked, pakistan, daily-home-use",TRUE,Title,Default Title,PHE-PC-004,0,3500,4525.00,TRUE,FALSE,,"Folding Handle Hair Dryer – Portable, Lightweight Travel Hairdryer wit","Folding Handle Hair Dryer – Portable, Lightweight Travel Hairdryer with Cool Shot for Pakistan homes. Quality checked, practical for daily use, and available with COD support.",active
hair-dryer-with-20000-rpm-motor-and-concentrator-nozzle,Hair Dryer with 20000 RPM Motor and Concentrator Nozzle,<p>Hair Dryer with 20000 RPM Motor and Concentrator Nozzle for practical daily home use in Pakistan.</p><ul><li>Practical use for Pakistani households</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily home use</li></ul>,Pak Home Essentials,Health & Beauty > Personal Care,Personal Care,"personal-care, cod-available, quality-checked, pakistan, daily-home-use",TRUE,Title,Default Title,PHE-PC-005,0,3000,4320,TRUE,FALSE,,Hair Dryer with 20000 RPM Motor and Concentrator Nozzle in Pakistan | ,"Hair Dryer with 20000 RPM Motor and Concentrator Nozzle for Pakistan homes. Quality checked, practical for daily use, and available with COD support.",active
hair-dryer-with-diffuser-and-concentrator-fast-drying-salon-hair-dryer,Hair Dryer with Diffuser and Concentrator Fast Drying Salon Hair Dryer,<p>Hair Dryer with Diffuser and Concentrator Fast Drying Salon Hair Dryer for practical daily home use in Pakistan.</p><ul><li>Practical use for Pakistani households</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily home use</li></ul>,Pak Home Essentials,Health & Beauty > Personal Care,Personal Care,"personal-care, cod-available, quality-checked, pakistan, daily-home-use",TRUE,Title,Default Title,PHE-PC-006,0,2700,3700.00,TRUE,FALSE,,Hair Dryer with Diffuser and Concentrator Fast Drying Salon Hair Dryer,"Hair Dryer with Diffuser and Concentrator Fast Drying Salon Hair Dryer for Pakistan homes. Quality checked, practical for daily use, and available with COD support.",active
jamaky-1800w-hair-dryer-35000-rpm-dc-motor-cool-air-2-speeds,"JAMAKY 1800W Hair Dryer – 35000 RPM DC Motor, Cool Air, 2 Speeds","<p>JAMAKY 1800W Hair Dryer – 35000 RPM DC Motor, Cool Air, 2 Speeds for practical daily home use in Pakistan.</p><ul><li>Practical use for Pakistani households</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily home use</li></ul>",Pak Home Essentials,Health & Beauty > Personal Care,Personal Care,"personal-care, cod-available, quality-checked, pakistan, daily-home-use",TRUE,Title,Default Title,PHE-PC-007,0,3000,4320.00,TRUE,FALSE,,"JAMAKY 1800W Hair Dryer – 35000 RPM DC Motor, Cool Air, 2 Speeds in Pa","JAMAKY 1800W Hair Dryer – 35000 RPM DC Motor, Cool Air, 2 Speeds for Pakistan homes. Quality checked, practical for daily use, and available with COD support.",active
jamaky-3-in-1-men-s-grooming-kit-shaver-and-hair-trimmer-hot-sale,JAMAKY 3-in-1 Men’s Grooming Kit Shaver and Hair Trimmer – Hot Sale,<p>JAMAKY 3-in-1 Men’s Grooming Kit Shaver and Hair Trimmer – Hot Sale for practical daily home use in Pakistan.</p><ul><li>Practical use for Pakistani households</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily home use</li></ul>,Pak Home Essentials,Health & Beauty > Personal Care,Personal Care,"personal-care, cod-available, quality-checked, pakistan, daily-home-use",TRUE,Title,Default Title,PHE-PC-008,0,3300,4500.00,TRUE,FALSE,,JAMAKY 3-in-1 Men’s Grooming Kit Shaver and Hair Trimmer – Hot Sale in,"JAMAKY 3-in-1 Men’s Grooming Kit Shaver and Hair Trimmer – Hot Sale for Pakistan homes. Quality checked, practical for daily use, and available with COD support.",active
jamaky-hot-sale-electric-hair-trimmer-use-charging-lithium-battery-shaving-machine,JAMAKY Hot Sale Electric Hair Trimmer Use Charging Lithium Battery Shaving Machine,<p>JAMAKY Hot Sale Electric Hair Trimmer Use Charging Lithium Battery Shaving Machine for practical daily home use in Pakistan.</p><ul><li>Practical use for Pakistani households</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily home use</li></ul>,Pak Home Essentials,Health & Beauty > Personal Care,Personal Care,"personal-care, cod-available, quality-checked, pakistan, daily-home-use",TRUE,Title,Default Title,PHE-PC-009,0,3700,4280.00,TRUE,FALSE,,JAMAKY Hot Sale Electric Hair Trimmer Use Charging Lithium Battery Sha,"JAMAKY Hot Sale Electric Hair Trimmer Use Charging Lithium Battery Shaving Machine for Pakistan homes. Quality checked, practical for daily use, and available with COD support.",active
jamaky-jpc90021-hair-trimmer-7000-rpm-4-guide-combs-usb-charging-led-display,"JAMAKY JPC90021 Hair Trimmer – 7000 RPM, 4 Guide Combs, USB Charging, LED Display","<p>JAMAKY JPC90021 Hair Trimmer – 7000 RPM, 4 Guide Combs, USB Charging, LED Display for practical daily home use in Pakistan.</p><ul><li>Practical use for Pakistani households</li><li>Quality checked before dispatch</li><li>Cash on Delivery available where supported</li><li>Suitable for daily home use</li></ul>",Pak Home Essentials,Health & Beauty > Personal Care,Personal Care,"personal-care, cod-available, quality-checked, pakistan, daily-home-use",TRUE,Title,Default Title,PHE-PC-010,0,4500,7100.00,TRUE,FALSE,,"JAMAKY JPC90021 Hair Trimmer – 7000 RPM, 4 Guide Combs, USB Charging, ","JAMAKY JPC90021 Hair Trimmer – 7000 RPM, 4 Guide Combs, USB Charging, LED Display for Pakistan homes. Quality checked, practical for daily use, and available with COD support.",active
